846806160606969856,'846806160606969856',DempseyMSS,'RT @lcbusiness_clem: Cadbury may shrink the size of its products in Britain due to Brexit  (via @thejournal_ie) https://t.co/mqUMvnS4K4',Tue Mar 28 19:28:16 +0000 2017,None,None,None,"Mercy S.S,Ballymahon,Longford"
846806003203129344,'846806003203129344',TRUEIrishTalent,'RT @aliciavperry: Coming very soon (tomorrow) #Brexit #Trigger #UK https://t.co/tLHcI1N8wp',Tue Mar 28 19:27:38 +0000 2017,None,None,None,Ireland
846805954725335042,'846805954725335042',TRUEIrishTalent,'RT @aliciavperry: Brexit Sec David Davis: north of Ireland ?can rejoin #EU after #Brexit if it votes for reunification? #unityref https://t?',Tue Mar 28 19:27:27 +0000 2017,None,None,None,Ireland
846805928947126276,'846805928947126276',graham_foto,"""RT @ainemagu: 'Twas the night before Brexit, And all through the house, Not a remain voter was happy, BECAUSE WE HAVE BEEN TOLD NOTHING ABO?""",Tue Mar 28 19:27:21 +0000 2017,None,None,None,Ardboe | Co. Tyrone
846805567985373184,'846805567985373184',wrafter_colin,'May?s Scotland gambit ? to place EU departure at the heart of her Unionist appeal | Conservative Home https://t.co/najNBR8BD0',Tue Mar 28 19:25:54 +0000 2017,None,None,None,Dublin 
846805553049456645,'846805553049456645',gillmac,"""RT @niamhi: None of us can truly know the impact Brexit will have until it's triggered,but we need to be prepared so that students are prot?""",Tue Mar 28 19:25:51 +0000 2017,None,None,None,"Dublin, Éire"
846805548897107969,'846805548897107969',ITT_SU,"""RT @niamhi: None of us can truly know the impact Brexit will have until it's triggered,but we need to be prepared so that students are prot?""",Tue Mar 28 19:25:50 +0000 2017,None,None,None,ITT Dublin
846805259095867394,'846805259095867394',pcgalwally,'England after Brexit. https://t.co/6U9Ge1FgLX',Tue Mar 28 19:24:41 +0000 2017,None,None,None,Belfast
846805219807780864,'846805219807780864',PODglen,"'""What did Britain vote for?"" Brilliant question on #C4news. #Brexit'",Tue Mar 28 19:24:31 +0000 2017,None,None,None,"Killarney, Kerry, Ireland"
846805160278065153,'846805160278065153',AndyMOBrien,"""I guess in the wake of Brexit and trump, I've swung waaay to the left....""",Tue Mar 28 19:24:17 +0000 2017,None,None,None,Dublin
