831467191262445568,'831467191262445568',cllrpaulporter,'RT @duponline: . @DUPleader ?NI?s seat at the Brexit negotiating table is at stake on 2nd March. We need to get the best result for NI? #5L?',Tue Feb 14 11:36:40 +0000 2017,None,None,None,None
831467041794228225,'831467041794228225',Suzanne_Brett,"""@OpinionLine96 and I am very interested in all other topics but not last night ... It wasn't a general meeting it was a Brexit Forum""",Tue Feb 14 11:36:05 +0000 2017,None,None,None,cork ireland
831466532362416128,'831466532362416128',Suzanne_Brett,'@OpinionLine96 it was a Brexit Forum  meeting ... I understand people wanted to raise other issues but I went for stated purpose of meeting',Tue Feb 14 11:34:03 +0000 2017,None,None,None,cork ireland
831466390859214848,'831466390859214848',VGravey,'Nothing like a 2nd Chamber to speak truth to power: very much enjoying reading HoL #Brexit &amp; #Environment report? https://t.co/CJT7tNorqe',Tue Feb 14 11:33:30 +0000 2017,None,None,None,"Belfast, Northern Ireland"
831465014921932800,'831465014921932800',HardBrexitBook,'RT @Freight_NI: In Dungannon today with FTA member Dunbia. Any delays to their vital GB supply chain caused by #Brexit = huge consequences?',Tue Feb 14 11:28:02 +0000 2017,None,None,None,United Kingdom
831464559206600704,'831464559206600704',ambercentre,'AMBER has won significant #erc funding to date https://t.co/RFeqESgCvG via @siliconrepublic',Tue Feb 14 11:26:13 +0000 2017,None,None,None,"Dublin, Ireland"
831464426867924992,'831464426867924992',ManufacturingNI,'RT @Freight_NI: In Dungannon today with FTA member Dunbia. Any delays to their vital GB supply chain caused by #Brexit = huge consequences?',Tue Feb 14 11:25:41 +0000 2017,None,None,None,NI
831463904844906497,'831463904844906497',Brexit_conf,'RT @BelTel_Business: US tech company Sonos to raise prices in UK by up to 25% in wake of Brexit vote https://t.co/ufx92iF630 https://t.co/6?',Tue Feb 14 11:23:37 +0000 2017,None,None,None,None
831463805469220864,'831463805469220864',Coalclock,"'RT @tcddublin: Prof Morris, director of @ambercentre, looks at what Ireland?s science community stands to gain &amp; lose from #Brexit https://?'",Tue Feb 14 11:23:13 +0000 2017,None,None,None,Dublin
831463468066828288,'831463468066828288',upskillent,'#Upskill agrees assessment of skills &amp; resources key for Brexit negotiations https://t.co/Gu25V8F9hF @instituteforgov @SirBobKerslake',Tue Feb 14 11:21:53 +0000 2017,None,None,None,"Belfast, Northern Ireland"
831462535551397888,'831462535551397888',MrConnieS,'RT @Freight_NI: In Dungannon today with FTA member Dunbia. Any delays to their vital GB supply chain caused by #Brexit = huge consequences?',Tue Feb 14 11:18:10 +0000 2017,None,None,None,None
831462310262820864,'831462310262820864',sodden,"'Read, and weep for the callous indifference of a Brexit strategy indifferent to its own best interests and human ri? https://t.co/d5TLBxNxuj'",Tue Feb 14 11:17:17 +0000 2017,None,None,None,Dublin
831461992791736320,'831461992791736320',Freight_NI,'In Dungannon today with FTA member Dunbia. Any delays to their vital GB supply chain caused by #Brexit = huge conse? https://t.co/61DV2ei6Wv',Tue Feb 14 11:16:01 +0000 2017,None,None,None,Belfast
831461919324270593,'831461919324270593',FullIrishNews,"""Brexit: Policing border will be 'mission impossible' https://t.co/IZ9hIsODtx""",Tue Feb 14 11:15:44 +0000 2017,None,None,None,"Dublin City, Ireland"
831461745445199872,'831461745445199872',Patio365,'BBC News - Northern Ireland house prices rose by 6% last year https://t.co/wGBklasUPH #Brexit to blame',Tue Feb 14 11:15:02 +0000 2017,None,None,None,Northern Ireland
831461094371815424,'831461094371815424',glensdude,'#bexshit The UK is being stolen: 4 reasons we are still angry about Brexit https://t.co/RBfwy2yjQL',Tue Feb 14 11:12:27 +0000 2017,None,None,None,The Glens of Antrim
831460980521582592,'831460980521582592',Patio365,"'Brexit to blame for falling house prices, House prices in NI rise by 6% #fakenews https://t.co/A9fTlWglm9'",Tue Feb 14 11:12:00 +0000 2017,None,None,None,Northern Ireland
831460329565589504,'831460329565589504',KeelanCon,'I feel like what govt really needs to be investing in right now is Rosslare Europort. Closest maritime entry to the EU post #Brexit',Tue Feb 14 11:09:25 +0000 2017,None,None,None,"Dublin City, Ireland"
831460328949022721,'831460328949022721',Inter_Trade,"'#ITINews Irish business starts 2017 on solid footing, but Brexit and Trump still key issues https://t.co/EJqJY3WynB @RTEbusiness'",Tue Feb 14 11:09:24 +0000 2017,None,None,None,"Newry, County Down"
