852537992732438528,'852537992732438528',niamh_hardiman,"""The wonderful Julian Barnes on #Brexit, 'culture', identity, Anita Brookner, Simenon, &amp; much else besides. https://t.co/pqIBCHir2y via @LR""",Thu Apr 13 15:04:31 +0000 2017,None,None,None,"Dublin City, Ireland"
852537983123279877,'852537983123279877',NICVA,"""We're holding a #Brexit engagement event with @deptinfra to discuss potential impacts on your org &amp; service users? https://t.co/y8KjkO6BPr""",Thu Apr 13 15:04:29 +0000 2017,None,None,None,"Belfast, Northern Ireland"
852537797458178051,'852537797458178051',GMBGMDB,"""RT @UCDLawSchool: 'What challenges for a prosperous Ireland after Brexit?' L023 6.30pm Thu 13 Apr 2017. @GMBGMDB will be on the panel. http?""",Thu Apr 13 15:03:44 +0000 2017,None,None,None,None
852537511310229507,'852537511310229507',digitelip,"'Huff Tech News: ""Lessons We Haven\'t Learned From Brexit"" https://t.co/R7cQaH9ywM #TechNews #CloudFones'",Thu Apr 13 15:02:36 +0000 2017,None,None,None,"Dublin, Ireland"
852537262470549504,'852537262470549504',UCDLawSchool,"""'What challenges for a prosperous Ireland after Brexit?' L023 6.30pm Thu 13 Apr 2017. @GMBGMDB will be on the panel. https://t.co/4Pm1BDxEaJ""",Thu Apr 13 15:01:37 +0000 2017,None,None,None,Dublin
852536422200487937,'852536422200487937',SuperNaturalU,'Want to counteract #brexit #HardCheese support #Local #sustainable #SmallBusiness #markets #producers #Indigienious? https://t.co/zZxO0fiK3o',Thu Apr 13 14:58:17 +0000 2017,None,None,None,"Dublin City, Ireland"
852535034124939266,'852535034124939266',BelfastBiscuit,"""@afneil I don't know Andrew. @acgrayling is right up there for anti #brexit luncay! Honorable mention for @EmmaKennedy too.""",Thu Apr 13 14:52:46 +0000 2017,None,None,None,Belfast
852534813290528768,'852534813290528768',CaraStationery1,'RT @MHCLawyers: Watch Newly appointed Head of Employment Melanie Crowley discuss how #Brexit will affect employees https://t.co/lYbI5vfR3T',Thu Apr 13 14:51:53 +0000 2017,None,None,None,Harrow - UK
852534672307486721,'852534672307486721',MHCLawyers,'Watch Newly appointed Head of Employment Melanie Crowley discuss how #Brexit will affect employees https://t.co/lYbI5vfR3T',Thu Apr 13 14:51:19 +0000 2017,None,None,None,Dublin
852534350533062656,'852534350533062656',smartcityfeed,"'RT @SmartBelfast: With Brexit looming, millions wonder whether they can stay in Britain https://t.co/wZSGDSdn30 #DigitalNI #SmartBelfast #S?'",Thu Apr 13 14:50:03 +0000 2017,None,None,None,None
